Архив,Наименование
Архивный Отдел Администрации Карталинского Муниципального Района,Открытое Акционерное Общество Карталымежрайгаз
Архивный Отдел Администрации Карталинского Муниципального Района,Плановая Комиссия Карталинского Районного Совета Народных Депутатов Каратлаинский Район
Архивный Отдел Администрации Карталинского Муниципального Района,Полтавская Государственная Нотариальная Контора Карталинский Район
Архивный Отдел Администрации Карталинского Муниципального Района,Полтавская Райзаготконтора Заготживсырье Карталинский Район
Архивный Отдел Администрации Карталинского Муниципального Района,Полтавская Райзаготконтора Краталинский Район
Архивный Отдел Администрации Карталинского Муниципального Района,Полтавская Районная Прокуратура Карталинский Район
Архивный Отдел Администрации Карталинского Муниципального Района,Полтавская Типография Карталинский Район
Архивный Отдел Администрации Карталинского Муниципального Района,Полтавская Центральная Райсберкасса Карталинский Район
Архивный Отдел Администрации Карталинского Муниципального Района,Полтавский Дорожный Отдел Карталинский Район
Архивный Отдел Администрации Карталинского Муниципального Района,Полтавский Племенной Совхоз Карталинский Район
Архивный Отдел Администрации Карталинского Муниципального Района,Полтавский Райпищекомбинат Карталинский Район
Архивный Отдел Администрации Карталинского Муниципального Района,Полтавский Райпромкомбинат Карталинский Район
Архивный Отдел Администрации Карталинского Муниципального Района,Полтавский Сельский Совет Карталинский Район П.Центральный
Архивный Отдел Администрации Карталинского Муниципального Района,Полтавское Шахтоуправление Карталинский Район
Архивный Отдел Администрации Карталинского Муниципального Района,Предприятия Комбината Общественного Питания
Архивный Отдел Администрации Карталинского Муниципального Района,Райком Профсоюза Работников Сельского Хозяйства Карталинский Район
Архивный Отдел Администрации Карталинского Муниципального Района,Райконтора Карталинского Главтракторосбыта Карталинский Район
Архивный Отдел Администрации Карталинского Муниципального Района,Районная Информационновычислительная Станция Ривс Карталинский Район
Архивный Отдел Администрации Карталинского Муниципального Района,Районная Комиссия По Делам Красногвардейцев И Партизан Карталинский Район
Архивный Отдел Администрации Карталинского Муниципального Района,Районная Контора Главмолоко Карталинский Район
Архивный Отдел Администрации Карталинского Муниципального Района,Районная Контрольная Комиссия Рки Карталинский Район
Архивный Отдел Администрации Карталинского Муниципального Района,Районный Отдел Народного Образования Караталинского Райсполкома Карталинский Район
Архивный Отдел Администрации Карталинского Муниципального Района,Районный Отдел По Делам Строительства И Архитектуры Карталинского Райсполкома
Архивный Отдел Администрации Карталинского Муниципального Района,Районный Финансовый Отдел Карталинского Райсполкома Карталинский Район
Архивный Отдел Администрации Карталинского Муниципального Района,Расчетнокассовый Центр
Архивный Отдел Администрации Карталинского Муниципального Района,"Редакция Районной Газеты Карталинская Новь Г.Карталы Ул.Ленина, А"
Архивный Отдел Администрации Карталинского Муниципального Района,Снежненский Сельский Совет Карталинский Район П.Снежный
Архивный Отдел Администрации Карталинского Муниципального Района,"Совет Депутатов Карталинского Городского Поселения Г.Карталы Ул.Ленина,"
Архивный Отдел Администрации Карталинского Муниципального Района,Совхоз Варшавский Карталинский Район
Архивный Отдел Администрации Карталинского Муниципального Района,Совхоз Великопетровский Карталинский Район
Архивный Отдел Администрации Карталинского Муниципального Района,Совхоз Еленинский Каратлинский Район
Архивный Отдел Администрации Карталинского Муниципального Района,Совхоз Карталинский Карталинский Район
Архивный Отдел Администрации Карталинского Муниципального Района,Совхоз Мичуринский Карталинский Район
Архивный Отдел Администрации Карталинского Муниципального Района,Совхоз Рассвет Карталинский Район
Архивный Отдел Администрации Карталинского Муниципального Района,Совхоз Южностепной Карталинский Район
Архивный Отдел Администрации Карталинского Муниципального Района,"Сухореченский Сельский Совет Карталинский Район, П.Сухореченский"
Архивный Отдел Администрации Карталинского Муниципального Района,Товарищество С Ограниченной Ответственностью Циркон
Архивный Отдел Администрации Карталинского Муниципального Района,Торговый Отдел Горисполкома Г.Карталы
Архивный Отдел Администрации Карталинского Муниципального Района,Уполномоченный Министерства Заготовок Карталинский Район
Архивный Отдел Администрации Карталинского Муниципального Района,"Управление Федеральной Службы Занятости Населения По Г.Карталы Департамента Федеральной Службы Занятости Населения По Челябинской Области Г.Карталы, Ул.Свердлова, Д."
Архивный Отдел Администрации Карталинского Муниципального Района,"Уральский Доломит  Филиал Ооо Георесурс Г.Карталы, Ул.Пушкина,"
Архивный Отдел Администрации Карталинского Муниципального Района,"Чобу Карталинское Лесничество Карталинский Район С.Анненское Ул.Сосновая,"
Архивный Отдел Администрации Карталинского Муниципального Района,Южностепной Сельский Совет Карталинский Район
Архив Архивный Отдел Администрации Каслинского Муниципального Района,
Архивный Отдел Администрации Каслинского Муниципального Района,"Аверина Лощакова Галина Александровна Род., Краевед Г. Касли Челябинской Области"
Архивный Отдел Администрации Каслинского Муниципального Района,Автономная Некоммерческая Организация Редакция Газеты Красное Знамя Г. Касли Челябинской Области
Архивный Отдел Администрации Каслинского Муниципального Района,Администрация Каслинского Городского Поселения Г. Касли Челябинской Области
Архивный Отдел Администрации Каслинского Муниципального Района,Администрация Каслинского Муниципального Района Г. Касли Челябинской Области
Архивный Отдел Администрации Каслинского Муниципального Района,Акционерное Общество Закрытого Типа Прогресс П. Вишневогорск Каслинский Район Челябинской Области  Г.Г.
Архивный Отдел Администрации Каслинского Муниципального Района,Акционерное Общество Открытого Типа Григорьевка С.Григорьевка Каслинского Района Челябинской Области  Г.Г.
Архивный Отдел Администрации Каслинского Муниципального Района,Багарякская Машиннотракторная Станция С. Багаряк Багарякского Района  Г.Г.
Архивный Отдел Администрации Каслинского Муниципального Района,Багарякская Промышленная Артель Победа Ранее Артель Пролетарский Труд С. Багаряк Багарякского Района  Г.Г.
Архивный Отдел Администрации Каслинского Муниципального Района,Багарякская Районная Инспектура Госстатистики С. Багаряк Багарякского Района  Г.Г.
Архивный Отдел Администрации Каслинского Муниципального Района,Багарякская Районная Редакция Газеты Знамя Коммунара С. Багаряк  Г.Г.
Архивный Отдел Администрации Каслинского Муниципального Района,Багарякская Центральная Сберегательная Касса Челябинской Области С. Багаряк
Архивный Отдел Администрации Каслинского Муниципального Района,Багарякский Заготовительный Пункт Кунашакской Райзаготконторы С. Багаряк
Архивный Отдел Администрации Каслинского Муниципального Района,Багарякский Народный Суд С. Багаряк Багарякского Района  Г.Г.
Архивный Отдел Администрации Каслинского Муниципального Района,Багарякский Плодопитомнический Совхоз Багарякский Район  Г.Г.
Архивный Отдел Администрации Каслинского Муниципального Района,Багарякский Участок Кыштымского Комбината Надомный Труд С. Багаряк Каслинского Района Челябинской Области  Г.Г.
Архивный Отдел Администрации Каслинского Муниципального Района,Багарякское Механизированное Лесное Хозяйство Челябинского Областного Лесного Хозяйства С. Багаряк Каслинского Района  Г.Г.
Архивный Отдел Администрации Каслинского Муниципального Района,Боевский Сельский Совет Депутатов Трудящихся Багарякского Района С. Боевка Багарякского Района  Г.Г.
Архивный Отдел Администрации Каслинского Муниципального Района,Боевское Рудоуправление Багарякского Района С. Боевка
Архивный Отдел Администрации Каслинского Муниципального Района,Верхнеуфалейский Отдел Государственной Статистики По Г. Касли Г. Касли Челябинской Области  Г.Г.
Архивный Отдел Администрации Каслинского Муниципального Района,Воскресенский Детский Дом С. Воскресенское Каслинского Района  Г.Г.
Архивный Отдел Администрации Каслинского Муниципального Района,Галикаевский Сельский Совет Депутатов Трудящихся И Его Исполнительный Комитет Каслинского Района С. Галикаево Каслинского Района Г.Г.
Архивный Отдел Администрации Каслинского Муниципального Района,Городской Комитет Профсоюза Медицинских Работников Г.Касли
Архивный Отдел Администрации Каслинского Муниципального Района,Городской Комитет Профсоюза Работников Госучреждений Г.Касли
Архивный Отдел Администрации Каслинского Муниципального Района,Городской Комитет Профсоюза Работников Просвещения Г.Касли
Архивный Отдел Администрации Каслинского Муниципального Района,Государственное Кооперативное Предприятие Вишневогорский Щебеночный Завод П. Вишневогорск Каслинского Района  Г.Г.
Архивный Отдел Администрации Каслинского Муниципального Района,Государственное Предприятие Каслинская Швейная Фабрика Г.Касли Челябинской Области  Г.Г.
Архивный Отдел Администрации Каслинского Муниципального Района,Государственное Предприятие Каслинский Межхозяйственный Лесхоз С.Тюбук Каслинского Района Челябинской Области Апрель  Октябрь Г.Г.
Архивный Отдел Администрации Каслинского Муниципального Района,Документы По Выборам Органов Исполнительной И Представительной Власти Всех Уровней На Территории Города Касли И Каслинского Района  Документы По Выборам Органов Государственной Власти И Местного Самоуправления На Территории Города Касли И Каслинского Района
Архивный Отдел Администрации Каслинского Муниципального Района,Дорожный Отдел Багарякского Райсполкома C. Багаряк
Архивный Отдел Администрации Каслинского Муниципального Района,Дорожный Участок  Г. Касли Челябинской Области  Г.Г.
Архивный Отдел Администрации Каслинского Муниципального Района,Закрытое Акционерное Общество Воздвиженский Стеклозавод  Уфимкинский Стекольный Завод И Его Предшественники П. Воздвиженка Каслинского Района Челябинской Области Декабрь  Годы
Архивный Отдел Администрации Каслинского Муниципального Района,Закрытое Акционерное Общество Каслинский Литейный Завод Г. Касли Челябинской Области Февраль Октябрь Г.Г.
Архивный Отдел Администрации Каслинского Муниципального Района,Закрытое Акционерное Обществокаслисжелдортранс Г.Касли Челябинской Области Июль  Август Г.Г.
Архивный Отдел Администрации Каслинского Муниципального Района,Закрытое Акционерное Общество Огневское С. Огневское Каслинского Района  Г.Г.
Архивный Отдел Администрации Каслинского Муниципального Района,Закрытое Акционерное Общество Тюбукагромонтаж И Его Предшественники С.Тюбук Каслинский Район Челябинская Область
Архивный Отдел Администрации Каслинского Муниципального Района,Зацепина Савинова Нина Тихоновна Род.  Почетный Архивист Челябинской Области Г. Касли Челябинской Области
Архивный Отдел Администрации Каслинского Муниципального Района,Земельный Отдел Каслинского Райсполкома Г. Касли Челябинской Области  Г.Г.
Архивный Отдел Администрации Каслинского Муниципального Района,Зотинский Сельский Совет С. Зотино Багарякского Района  Г.Г.
Архивный Отдел Администрации Каслинского Муниципального Района,Инспекция Министерства Российской Федерации По Налогам И Сборам По Городу Касли Челябинской Области  Г.Г.
Архивный Отдел Администрации Каслинского Муниципального Района,Инспекция Сельского Хозяйства Багарякского Района Багарякский Район  Г.Г.
Архивный Отдел Администрации Каслинского Муниципального Района,Исполнительный Комитет Багарякского Районного Совета Депутатов Трудящихся Челябинской Области Каслинский Район
Архивный Отдел Администрации Каслинского Муниципального Района,Исполнительный Комитет Клепаловского Сельского Совета Депутатов Трудящихся С. Клепалово Багарякского Района  Г.Г.
Архивный Отдел Администрации Каслинского Муниципального Района,Исполнительный Комитет Тиминского Сельского Совета Депутатов Трудящихся С. Тимино Багарякского Района  Г.Г.
Архивный Отдел Администрации Каслинского Муниципального Района,Кабанский Сельский Совет Депутатов Трудящихся И Его Исполнительный Комитет С. Кабанье Багарякского Района Челябинской Области  Г.Г.
Архивный Отдел Администрации Каслинского Муниципального Района,Каслинская Районная Заготовительная Контора Г. Касли Челябинской Области  Г.Г.
Архивный Отдел Администрации Каслинского Муниципального Района,Каслинская Районная Типография Г. Касли Челябинской Области  Ноябрь Г.Г.
Архивный Отдел Администрации Каслинского Муниципального Района,Каслинская Школа Механизации Сельского Хозяйства Г.Касли Челябинской Области  Г.Г.
Архивный Отдел Администрации Каслинского Муниципального Района,Каслинская Школа Фабричнозаводского Обучения  Г.Касли Челябинской Области  Г.Г.
Архивный Отдел Администрации Каслинского Муниципального Района,Каслинская Школа Шоферов Г.Касли Челябинской Области  Г.Г.
Архивный Отдел Администрации Каслинского Муниципального Района,Каслинский Горком Профсоюза Работников Культуры Каслинский Район
Архивный Отдел Администрации Каслинского Муниципального Района,Каслинский Городской Комитет Народного Контроля Г.Касли Челябинской Области  Г.Г.
Архивный Отдел Администрации Каслинского Муниципального Района,Каслинский Городской Комитет Профсоюза Работников Торговли И Потребкооперации  Г.Г.
Архивный Отдел Администрации Каслинского Муниципального Района,Каслинский Городской Народный Суд Г.Касли Челябинской Области  Г.Г.
Архивный Отдел Администрации Каслинского Муниципального Района,Каслинский Городской Совет Народных Депутатов И Его Исполнительный Комитет Г.Касли Челябинской Области  Г.Г.
Архивный Отдел Администрации Каслинского Муниципального Района,Каслинский Детский Костнотуберкулезный Санаторий Г. Касли Челябинской Области
Архивный Отдел Администрации Каслинского Муниципального Района,Каслинский Краеведческий Музей Г.Касли Челябинской Области  Г.Г.
Архивный Отдел Администрации Каслинского Муниципального Района,Каслинский Лесопункт П.Маук Каслинского Района Челябинской Области  Г.Г.
Архивный Отдел Администрации Каслинского Муниципального Района,Каслинский Районный Комбинат Пищевой Промышленности Г. Касли Челябинской Области  Г.Г.
Архивный Отдел Администрации Каслинского Муниципального Района,Каслинский Районный Совет Народных Депутатов И Его Исполнительный Комитет Г. Касли Челябинской Области  Г.Г.
Архивный Отдел Администрации Каслинского Муниципального Района,Каслинский Районный Союз Потребительских Обществ Г.Касли Челябинской Области
Архивный Отдел Администрации Каслинского Муниципального Района,Каслинский Районный Уполномоченный Министерства Заготовок Г. Касли Челябинской Области  Г.Г.
Архивный Отдел Администрации Каслинского Муниципального Района,Каслинский Расчетнокассовый Центр Главного Управления Центробанка Рф По Челябинской Области Г. Касли Челябинской Области  Г.Г.
Архивный Отдел Администрации Каслинского Муниципального Района,Каслинский Рыборазводный Завод Г.Касли Челябинской Области  Г.Г.
Архивный Отдел Администрации Каслинского Муниципального Района,"Каслинский Совхоз  , Подсобное Хозяйство Карабашской Конторы Медьпродснаба С. Тюбук Каслинского Района  Г.Г."
Архивный Отдел Администрации Каслинского Муниципального Района,Каслинский Совхоз  П.Пригородный Каслинского Района Челябинской Области Февраль  Январь Г.Г.
Архивный Отдел Администрации Каслинского Муниципального Района,Каслинский Хлебоприемный Комбинат Г. Касли Челябинской Области  Г.Г.
Архивный Отдел Администрации Каслинского Муниципального Района,Каслинское Городское Животноводческое Товарищество Г. Касли Челябинской Области
Архивный Отдел Администрации Каслинского Муниципального Района,"Кобелёва Хохлова Марина Павловна Род. , Почетный Гражданин Города Касли, Заслуженный Учитель Школы Рсфср, Отличник Просвещения Ссср Г. Касли Челябинской Области"
Архивный Отдел Администрации Каслинского Муниципального Района,Колхоз Заветы Ильича Багарякского Района Багарякский Район  Г.Г.
Архивный Отдел Администрации Каслинского Муниципального Района,Колхоз Им.Буденного Багарякского Района Багарякский Район  Г.Г.
Архивный Отдел Администрации Каслинского Муниципального Района,Колхоз Им.Кагановича Багарякского Района Багарякский Район  Г.Г.
Архивный Отдел Администрации Каслинского Муниципального Района,Колхоз Им.Калинина Багарякского Района Багарякский Район  Г.Г.
Архивный Отдел Администрации Каслинского Муниципального Района,Колхоз Им.Кирова Багарякского Района Багарякский Район  Г.Г.
Архивный Отдел Администрации Каслинского Муниципального Района,Колхоз Им.Куйбышева Багарякского Района Багарякский Район  Г.Г.
Архивный Отдел Администрации Каслинского Муниципального Района,Колхоз Им.Ленина Огневского Сельсовета Багарякского Района Багарякский Район  Г.Г.
Архивный Отдел Администрации Каслинского Муниципального Района,Колхоз Им.Молотова Багарякского Района С. Выселки Багарякского Района  Г.Г.
Архивный Отдел Администрации Каслинского Муниципального Района,Колхоз Им.Сталина Воскресенского Сельского Совета Каслинского Района С. Воскресенское Каслинского Района  Г.Г.
Архивный Отдел Администрации Каслинского Муниципального Района,Колхоз Им.Сталина Д. Стариково Багарякского Района Багарякский Район  Г.Г.
Архивный Отдел Администрации Каслинского Муниципального Района,Колхоз Им.Чапаева Багарякского Района Багарякский Район  Г.Г.
Архивный Отдел Администрации Каслинского Муниципального Района,Колхоз Красный Доброволец Багарякского Района Багарякский Район  Г.Г.
Архивный Отдел Администрации Каслинского Муниципального Района,Колхоз Новая Стройка Багарякского Района Багарякский Район  Г.Г.
Архивный Отдел Администрации Каслинского Муниципального Района,Колхоз Правда Багарякского Района Багарякский Район Г.
Архивный Отдел Администрации Каслинского Муниципального Района,Колхоз Путь К Социализму Багарякского Района Багарякский Район  Г.Г.
Архивный Отдел Администрации Каслинского Муниципального Района,Колхоз Трудовик Багарякского Района Багарякский Район  Г.Г.
Архивный Отдел Администрации Каслинского Муниципального Района,Колхозы Им. Мая И Искра Багарякского Района Багарякский Район  Г.Г.
Архивный Отдел Администрации Каслинского Муниципального Района,Комитет По Земельным Ресурсам И Землеустройству Г. Касли И Каслинского Района Г. Касли Челябинской Области  Г.Г.
Архивный Отдел Администрации Каслинского Муниципального Района,Комитет По Управлению Имуществом И Земельным Отношениям Администрации Каслинского Муниципального Района Г. Касли Челябинской Области
Архивный Отдел Администрации Каслинского Муниципального Района,Контрольно  Счетная Палата Каслинского Муниципального Района Г. Касли Челябинской Области Август
Архивный Отдел Администрации Каслинского Муниципального Района,Кривошеинский Сельский Совет Депутатов Трудящихся И Его Исполнительный Комитет Багарякского Района С.Кривошеино Багарякского Района  Г.Г
Архивный Отдел Администрации Каслинского Муниципального Района,Лесхоз Багарякского Района С. Багаряк  Г.Г.
Архивный Отдел Администрации Каслинского Муниципального Района,"Муниципальное Общеобразовательное Учреждение Для Детей Сирот И Детей, Оставшихся Без Попечения Родителей, С Ограниченными Возможностями Здоровья Тюбукская Специальная Коррекционная Школа  Интернат И Ее Предшественники С. Тюбук Каслинского Района Челябинской Области Сентябрь  Октябрь Г.Г."
Архивный Отдел Администрации Каслинского Муниципального Района,Муниципальное Предприятие Каслинский Комбинат Школьного Питания Г. Касли Челябинской Области Октябрь Ноябрь Г.Г.
Архивный Отдел Администрации Каслинского Муниципального Района,Муниципальное Предприятие Каслинский Торговый Дом Г.Касли Челябинской Области  Г.Г.
Архивный Отдел Администрации Каслинского Муниципального Района,Муниципальное Унитарное Предприятие Водоканал Каслинского Городского Поселения Г. Касли Челябинской Области Февраль  Июль Г.Г.
Архивный Отдел Администрации Каслинского Муниципального Района,Муниципальное Унитарное Предприятие Каслинское Производственное Межотраслевое Объединение Коммунального Хозяйства И Его Предшественники Г. Касли Челябинской Области Октябрь  Сентябрь
Архивный Отдел Администрации Каслинского Муниципального Района,Муниципальное Учреждение Здравоохранения Каслинская Центральная Районная Больница Г.Касли Челябинской Области
Архивный Отдел Администрации Каслинского Муниципального Района,Муниципальные Унитарные Предприятия Жилищноэксплутационные Коммунальные Управления Каслинского Муниципального Района Каслинский Район Челябинская Область  Г.Г.
Архивный Отдел Администрации Каслинского Муниципального Района,"Муниципальные Учреждения, Организации И Т.Д. Каслинского Района Челябинской Области"
Архивный Отдел Администрации Каслинского Муниципального Района,Народный Суд Участка С.Тюбук Каслинский Район  Г.Г.
Архивный Отдел Администрации Каслинского Муниципального Района,Областное Государственное Учреждение Опытный Каслинский Лесхоз Главного Управления Лесами Челябинской Области Г. Касли Челябинской Области  Г.Г.
Архивный Отдел Администрации Каслинского Муниципального Района,Областное Казенное Учреждение Центр Занятости Населения Города Касли .
Архивный Отдел Администрации Каслинского Муниципального Района,Общество С Ограниченной Ответственностью Дом Быта И Его Предшественники Г. Касли Челябинской Области Январь  Август Г.Г.
Архивный Отдел Администрации Каслинского Муниципального Района,Общество С Ограниченной Ответственностью Каслинский Гортопсбыт И Его Предшественники Г. Касли Челябинской Области  Г.Г.
Архивный Отдел Администрации Каслинского Муниципального Района,Общество С Ограниченной Ответственностью Тюбукская Сельхозтехника И Его Предшественники С. Тюбук Каслинского Района  Г.Г.
Архивный Отдел Администрации Каслинского Муниципального Района,Общество С Ограниченной Ответственностью Фирма Титан Г. Касли Челябинской Области  Г.Г.
Архивный Отдел Администрации Каслинского Муниципального Района,"Объединенный Архивный Фонд Кооперативные, Частные И Т.Д. Предприятия Г. Касли И Района"
Архивный Отдел Администрации Каслинского Муниципального Района,"Объединенный Архивный Фонд Ликвидированных Колхозов Багарякского Района Им.Челюскинцев, Крупской, Большевик, Красная Звезда, Ленинский Путь, Коминтерн, Городище, Победа  Г.Г."
Архивный Отдел Администрации Каслинского Муниципального Района,Ооткрытое Акционерное Общество Булзинское С.Булзи Каслинского Района Челябинской Области  Г.Г.
Архивный Отдел Администрации Каслинского Муниципального Района,Организации Государственного Страхования Г. Касли И Каслинского Района Дочернего Страхового Открытого Акционерного Общества Росгосстрах  Челябинск  Г.Г.
Архивный Отдел Администрации Каслинского Муниципального Района,Органы Государственной Власти И Местного Самоуправления Багарякского Сельского Поселения Каслинского Района Челябинской Области С. Багаряк Каслинского Района
Архивный Отдел Администрации Каслинского Муниципального Района,Органы Государственной Власти И Местного Самоуправления Берегового Сельского Поселения Каслинского Района Челябинской Области П. Береговой Каслинского Района
Архивный Отдел Администрации Каслинского Муниципального Района,Органы Государственной Власти И Местного Самоуправления Булзинского Сельского Поселения Каслинского Муниципального Района С. Булзи Каслинского Района
Архивный Отдел Администрации Каслинского Муниципального Района,Органы Государственной Власти И Местного Самоуправления Вишневогорского Городского Поселения Каслинского Района Челябинской Области П. Вишневогорск Каслинского Района
Архивный Отдел Администрации Каслинского Муниципального Района,Органы Государственной Власти И Местного Самоуправления Воздвиженского Сельского Поселения Каслинского Района Челябинской Области С. Воздвиженка Каслинского Района
Архивный Отдел Администрации Каслинского Муниципального Района,Органы Государственной Власти И Местного Самоуправления Григорьевского Сельского Поселения Д. Григорьевка Каслинского Района Челябинской Области
Архивный Отдел Администрации Каслинского Муниципального Района,Органы Государственной Власти И Местного Самоуправления Маукского Сельского Поселения Каслинского Муниципального Района Челябинской Области П. Маук Каслинского Района
